	Node	PI/Not a PI	Organisation	Internal Staff vs. External Staff	Faculty
564	54581329	2	Internal Staff	1	3
565	62470495	2	Internal Staff	1	3
566	25395751	2	Internal Staff	1	3
567	37306764	2	Internal Staff	1	3
568	80940819	2	Internal Staff	1	3
569	85478689	2	Internal Staff	1	3
570	55250322	1	Internal Staff	1	3
571	74935658	1	Internal Staff	1	3
572	95867087	2	Internal Staff	1	3
573	38296105	2	Internal Staff	1	3
574	52653703	2	Internal Staff	1	3
575	97611969	1	Internal Staff	1	3
576	92151005	1	Internal Staff	1	3
577	19768805	2	Internal Staff	1	3
578	23192030	2	Internal Staff	1	3
579	67469330	2	Internal Staff	1	3
580	70057133	2	Internal Staff	1	3
581	90223168	2	Internal Staff	1	3
582	91368879	1	Internal Staff	1	3
583	24285579	2	Internal Staff	1	3
584	12295023	2	Internal Staff	1	3
585	14102348	2	Internal Staff	1	3
586	32706312	1	Internal Staff	1	3
587	32921606	2	Internal Staff	1	3
588	40834970	2	Internal Staff	1	3
589	47459630	2	Internal Staff	1	3
590	66716073	2	Internal Staff	1	3
591	93296671	2	Internal Staff	1	3
592	60431527	2	Internal Staff	1	3
593	80999514	2	Internal Staff	1	3
594	31720548	2	Internal Staff	1	3
595	31921936	2	Internal Staff	1	3
596	65026743	2	Internal Staff	1	3
597	26440481	2	Internal Staff	1	3
598	49610905	2	Internal Staff	1	3
599	72220265	2	Internal Staff	1	3
600	90420931	2	Internal Staff	1	3
601	95665204	1	Internal Staff	1	3
602	10083151	2	Internal Staff	1	3
603	27719754	2	Internal Staff	1	3
604	23716141	2	Internal Staff	1	3
605	36727782	2	Internal Staff	1	3
606	37752742	2	Internal Staff	1	3
607	44742831	2	Internal Staff	1	3
608	53654827	2	Internal Staff	1	3
609	54977933	2	Internal Staff	1	3
610	59399240	2	Internal Staff	1	3
611	87243668	2	Internal Staff	1	3
612	90326364	2	Internal Staff	1	3
613	90648238	2	Internal Staff	1	3
614	95425017	2	Internal Staff	1	3
615	29728603	1	Internal Staff	1	3
616	37433890	2	Internal Staff	1	3
617	86783299	2	Internal Staff	1	3
618	46821111	2	Internal Staff	1	3
619	93617957	2	Internal Staff	1	3
620	26244251	2	Internal Staff	1	3
621	50627686	2	Internal Staff	1	3
622	53542119	2	Internal Staff	1	3
623	37637352	2	Internal Staff	1	3
624	73321207	2	Internal Staff	1	3
625	87591488	2	Internal Staff	1	3
626	29339990	1	Internal Staff	1	3
627	45986830	2	Internal Staff	1	3
628	46969237	2	Internal Staff	1	3
629	89564104	2	Internal Staff	1	3
630	28942203	2	Internal Staff	1	3
631	38920288	2	Internal Staff	1	3
632	47473668	2	Internal Staff	1	3
633	68295232	2	Internal Staff	1	3
634	49153402	2	Internal Staff	1	3
635	73947776	2	Internal Staff	1	3
636	94991333	1	Internal Staff	1	3
637	56832536	2	Internal Staff	1	3
638	79176333	2	Internal Staff	1	3
639	91805536	2	Internal Staff	1	3
640	94511957	2	Internal Staff	1	3
641	22273594	2	Internal Staff	1	3
642	27329343	2	Internal Staff	1	3
643	41579687	2	Internal Staff	1	3
644	44532410	2	Internal Staff	1	3
645	50984631	2	Internal Staff	1	3
646	55793695	2	Internal Staff	1	3
647	71846604	2	Internal Staff	1	3
648	74896622	2	Internal Staff	1	3
649	76698918	2	Internal Staff	1	3
650	92686928	2	Internal Staff	1	3
651	91128640	1	Internal Staff	1	3
652	44207227	1	Internal Staff	1	3
653	50243699	2	Internal Staff	1	3
654	57943081	2	Internal Staff	1	3
655	63276540	2	Internal Staff	1	3
656	98229284	2	Internal Staff	1	3
657	98473661	2	Internal Staff	1	3
658	21967828	2	Internal Staff	1	3
659	61044916	1	Internal Staff	1	3
660	13910940	2	Internal Staff	1	3
661	27795888	2	Internal Staff	1	3
662	51653897	2	Internal Staff	1	3
663	56721313	1	Internal Staff	1	3
664	22253048	2	Internal Staff	1	3
665	69026915	1	Internal Staff	1	3
666	85641797	2	Internal Staff	1	3
667	77097931	2	Internal Staff	1	3
668	43884519	2	Internal Staff	1	3
669	54178386	2	Internal Staff	1	3
670	78595227	2	Internal Staff	1	3
671	31369531	2	Internal Staff	1	3
672	66800139	1	Internal Staff	1	3
673	20056789	0	Internal Staff	1	4
674	94993848	0	Internal Staff	1	4
675	87684801	0	Internal Staff	1	4
676	71205894	0	Internal Staff	1	4
677	46370622	0	Internal Staff	1	4
678	18455090	0	Internal Staff	1	4
679	57817662	0	Internal Staff	1	4
680	19518413	0	Internal Staff	1	4
681	89539720	0	Internal Staff	1	4
682	48664964	0	Internal Staff	1	4
683	98944067	0	Internal Staff	1	4
684	41325652	0	Internal Staff	1	4
685	37834485	0	Internal Staff	1	4
686	14084981	0	Internal Staff	1	4
687	80133071	0	Internal Staff	1	4
688	94109244	0	Internal Staff	1	4
689	28516069	0	Internal Staff	1	4
690	77778729	0	Internal Staff	1	4
691	56744431	0	Internal Staff	1	4
692	42402168	0	Internal Staff	1	4
693	74793641	0	Internal Staff	1	4
694	14617684	0	Internal Staff	1	4
695	28205175	0	Internal Staff	1	4
696	38630652	0	Internal Staff	1	4
697	93337538	0	Internal Staff	1	4
698	28030564	0	Internal Staff	1	4
699	57907578	0	Internal Staff	1	4
700	63569275	0	Internal Staff	1	4
701	47825174	0	Internal Staff	1	4
702	32147292	0	Internal Staff	1	4
703	73836964	0	Internal Staff	1	4
704	35395400	0	Internal Staff	1	4
705	18595077	0	Internal Staff	1	4
706	88807998	0	Internal Staff	1	4
707	89519453	0	Internal Staff	1	4
708	97635052	0	Internal Staff	1	4
