	Node	PI/Not a PI	Organisation	Internal Staff vs. External Staff	Faculty
1818	48484722	0	SKO	2	0
1819	47181114	0	SKO	2	0
1820	74951332	0	SKO	2	0
1821	56413915	0	SKO	2	0
1822	45125117	0	SKO	2	0
1823	79447530	0	SKO	2	0
1824	13346742	0	SKO	2	0
1825	10012333	0	SKO	2	0
1826	62504690	0	SKO	2	0
1827	89369391	0	SKO	2	0
1828	78121294	0	SKO	2	0
1829	26640064	0	SKO	2	0
1830	44315586	0	SKO	2	0
1831	44972051	0	SKO	2	0
1832	50605891	0	SKO	2	0
1833	92987292	0	SKO	2	0
1834	34030131	0	SKO	2	0
1835	45258390	0	SKO	2	0
1836	39795808	0	SKO	2	0
1837	59172959	0	SKO	2	0
1838	69894084	0	SKO	2	0
1839	17108461	0	SKO	2	0
1840	66763638	0	SKO	2	0
1841	59223839	0	SKO	2	0
1842	99730544	0	SKO	2	0
1843	91645868	0	SKO	2	0
1844	99597716	0	SKO	2	0
1845	32146835	0	SKO	2	0
1846	17543305	0	SKO	2	0
1847	99351588	0	SKO	2	0
1848	40065102	0	SKO	2	0
1849	46892241	0	SKO	2	0
1850	82591560	0	SKO	2	0
1851	21032425	0	SKO	2	0
1852	93013532	0	SKO	2	0
1853	61246826	0	SKO	2	0
1854	45557275	0	SKO	2	0
1855	90253358	0	SKO	2	0
1856	43599369	0	SKO	2	0
1857	82167130	0	SKO	2	0
1858	70140883	0	SKO	2	0
1859	21775965	0	SKO	2	0
1860	99160714	0	SKO	2	0
1861	68210776	0	SKO	2	0
1862	13946326	0	SKO	2	0
1863	85936789	0	SKO	2	0
1864	60912043	0	SKO	2	0
1865	60745353	0	SKO	2	0
1866	62998134	0	SKO	2	0
1867	93850520	0	SKO	2	0
1868	68627908	0	SKO	2	0
1869	42747155	0	SKO	2	0
1870	10933013	0	SKO	2	0
1871	49745126	0	SKO	2	0
1872	26854067	0	SKO	2	0
1873	46310496	0	SKO	2	0
1874	99689336	0	SKO	2	0
1875	50868264	0	SKO	2	0
1876	78091143	0	SKO	2	0
1877	89486545	0	SKO	2	0
1878	26451531	0	SKO	2	0
1879	61543941	0	SKO	2	0
1880	43158696	0	SKO	2	0
1881	31949496	0	SKO	2	0
1882	94479412	0	SKO	2	0
1883	20145131	0	SKO	2	0
1884	48346389	0	SKO	2	0
1885	84587878	0	SKO	2	0
1886	91370507	0	SKO	2	0
1887	41249370	0	SKO	2	0
1888	31448567	0	SKO	2	0
1889	35190366	0	SKO	2	0
1890	50846655	0	SKO	2	0
1891	44962082	0	SKO	2	0
1892	73539216	0	SKO	2	0
1893	99752426	0	SKO	2	0
1894	45520255	0	SKO	2	0
1895	60364458	0	SKO	2	0
1896	52058991	0	SKO	2	0
1897	48586437	0	SKO	2	0
1898	45648545	0	SKO	2	0
1899	78739428	0	SKO	2	0
1900	44494182	0	SKO	2	0
1901	51146730	0	SKO	2	0
1902	43222915	0	SKO	2	0
1903	79202134	0	SKO	2	0
1904	33525775	0	SKO	2	0
1905	17473588	0	SKO	2	0
1906	42526417	0	SKO	2	0
1907	95609361	0	SKO	2	0
1908	42100053	0	SKO	2	0
1909	82901133	0	SKO	2	0
1910	52276803	0	SKO	2	0
1911	70864192	0	SKO	2	0
1912	52463253	0	SKO	2	0
1913	80009087	0	SKO	2	0
1914	36962800	0	SKO	2	0
1915	14282308	0	SKO	2	0
1916	93814967	0	SKO	2	0
1917	35486428	0	SKO	2	0
1918	53883157	0	SKO	2	0
1919	57578965	0	SKO	2	0
1920	48242606	0	SKO	2	0
1921	89760232	0	SKO	2	0
1922	91029888	0	SKO	2	0
1923	17503547	0	SKO	2	0
1924	70505319	0	SKO	2	0
1925	25670640	0	SKO	2	0
1926	87435667	0	SKO	2	0
1927	69363741	0	SKO	2	0
1928	53521977	0	SKO	2	0
1929	55960885	0	SKO	2	0
1930	11798273	0	SKO	2	0
1931	24333629	0	SLJ	2	0
1932	99446253	0	STG	2	0
1933	17651630	0	SVK	2	0
1934	76556373	0	SVK	2	0
1935	70869333	0	SVK	2	0
1936	67223424	0	SVK	2	0
1937	77865757	0	SWJ	2	0
1938	33220373	0	SWJ	2	0
1939	87864432	0	SWJ	2	0
1940	80151189	0	SWJ	2	0
1941	74644897	0	SWJ	2	0
1942	91108650	0	SWJ	2	0
1943	78343380	0	SWJ	2	0
1944	63517898	0	SXN	2	0
1945	38277199	0	SXN	2	0
1946	78027949	0	SZX	2	0
1947	43425156	0	TAM	2	0
1948	43593826	0	TAM	2	0
1949	35183898	0	TAM	2	0
1950	98048385	0	TAP	2	0
1951	69016703	0	TBV	2	0
1952	96386145	0	TBV	2	0
1953	88098002	0	TBV	2	0
1954	86261254	0	TFM	2	0
1955	87266191	0	TFM	2	0
1956	99496419	0	TFM	2	0
1957	99268360	0	TFM	2	0
1958	10846947	0	TIW	2	0
1959	52572312	0	TIW	2	0
1960	81994915	0	TIW	2	0
1961	50264813	0	TLS	2	0
1962	88698190	0	TMW	2	0
1963	33291103	0	TNW	2	0
1964	93766401	0	TPA	2	0
1965	98002949	0	TPA	2	0
1966	24671905	0	TPA	2	0
1967	80297697	0	TPA	2	0
1968	86160840	0	TPA	2	0
1969	47386598	0	TPA	2	0
1970	40216179	0	TPA	2	0
1971	91686535	0	TQD	2	0
1972	29697129	0	TQD	2	0
1973	91573964	0	TQD	2	0
1974	57233693	0	TQQ	2	0
1975	49232727	0	TQQ	2	0
1976	92761097	0	TQQ	2	0
1977	52127394	0	TRF	2	0
1978	81160393	0	TRF	2	0
1979	88513098	0	TTO	2	0
1980	38020782	0	TXX	2	0
1981	43590174	0	UAD	2	0
1982	70465351	0	UAD	2	0
1983	35531986	0	UEH	2	0
1984	94490829	0	UEH	2	0
1985	13942296	0	UEH	2	0
1986	55987303	0	UEH	2	0
1987	29056541	0	UEH	2	0
1988	97629446	0	UEH	2	0
1989	40936558	0	UEH	2	0
1990	23646206	0	UEH	2	0
1991	73350851	0	UEH	2	0
1992	81841460	0	UFU	2	0
1993	36811659	0	UGO	2	0
1994	75892746	0	UKX	2	0
1995	95552313	0	UKX	2	0
1996	66748845	0	ULQ	2	0
1997	63811650	0	ULQ	2	0
1998	46284860	0	ULQ	2	0
1999	87353903	0	ULY	2	0
2000	21119442	0	UMD	2	0
2001	36991854	0	UPF	2	0
2002	83640070	0	UQL	2	0
2003	69870232	0	UQL	2	0
2004	90776973	0	UTJ	2	0
2005	15633632	0	UUI	2	0
2006	27507696	0	UUW	2	0
2007	20883111	0	UUW	2	0
2008	97123489	0	UVK	2	0
2009	20472792	0	UZI	2	0
2010	96375551	0	VDC	2	0
2011	84182728	0	VDC	2	0
2012	91711920	0	VEU	2	0
2013	41657116	0	VJY	2	0
2014	54758961	0	VKU	2	0
2015	42015077	0	VLD	2	0
2016	92365113	0	VMT	2	0
2017	18778530	0	VMT	2	0
2018	58280815	0	VMT	2	0
2019	19953857	0	VMT	2	0
2020	89344621	0	VMT	2	0
2021	86870752	0	VMT	2	0
2022	92247453	0	VMT	2	0
2023	93355378	0	VMT	2	0
2024	85116495	0	VMY	2	0
2025	40656631	0	VMY	2	0
2026	77801221	0	VQI	2	0
2027	54379409	0	VQU	2	0
2028	37884238	0	VUA	2	0
2029	90805057	0	VUA	2	0
2030	27690240	0	VWC	2	0
2031	27636830	0	WCB	2	0
2032	71347045	0	WEP	2	0
2033	31935417	0	WEX	2	0
2034	20791418	0	WFH	2	0
2035	18865531	0	WFH	2	0
2036	27992647	0	WLL	2	0
2037	38185276	0	WNY	2	0
2038	28945978	0	WNY	2	0
2039	26837950	0	WOK	2	0
2040	65034286	0	WRK	2	0
2041	25083225	0	WSX	2	0
2042	82941296	0	WSX	2	0
2043	91131763	0	WSX	2	0
2044	18633007	0	WSX	2	0
2045	26450659	0	WSX	2	0
2046	41725811	0	WSX	2	0
2047	26305464	0	WSX	2	0
2048	95746817	0	WTH	2	0
2049	73718673	0	WTH	2	0
2050	84797873	0	WTH	2	0
2051	16373935	0	WTH	2	0
2052	15085927	0	WTH	2	0
2053	90775470	0	WTH	2	0
2054	83446430	0	WTH	2	0
2055	30247016	0	WTH	2	0
2056	72051105	0	WTM	2	0
2057	39169911	0	WWW	2	0
2058	31120914	0	WXJ	2	0
2059	91498462	0	WXJ	2	0
2060	73605061	0	WXJ	2	0
2061	15076975	0	WXJ	2	0
2062	13460685	0	WXJ	2	0
2063	97838507	0	WXJ	2	0
2064	46136069	0	WXJ	2	0
2065	87042668	0	WXJ	2	0
2066	67432154	0	WXJ	2	0
2067	42389378	0	WXJ	2	0
2068	49752479	0	WXJ	2	0
2069	88034494	0	WXJ	2	0
2070	56749889	0	WXJ	2	0
2071	80479763	0	WXJ	2	0
2072	46946918	0	WXJ	2	0
2073	99269813	0	WXJ	2	0
2074	91190829	0	WXJ	2	0
2075	67608244	0	WXJ	2	0
2076	55016561	0	WXJ	2	0
2077	40655159	0	WZF	2	0
2078	27975203	0	XCG	2	0
2079	73390467	0	XCI	2	0
2080	92147904	0	XCI	2	0
2081	44638104	0	XEJ	2	0
2082	58919969	0	XGN	2	0
2083	63371124	0	XKV	2	0
2084	73818472	0	XLC	2	0
2085	75650542	0	XLL	2	0
2086	79461975	0	XOC	2	0
2087	27758760	0	XOC	2	0
2088	27902541	0	XOC	2	0
2089	36300735	0	XRO	2	0
2090	92272073	0	XRO	2	0
2091	17258207	0	XVP	2	0
2092	95345510	0	YIP	2	0
2093	96128184	0	YIP	2	0
2094	69619507	0	YIU	2	0
2095	47986706	0	YIU	2	0
2096	97967402	0	YJB	2	0
2097	74161032	0	YJB	2	0
2098	10544621	0	YKT	2	0
2099	84067372	0	YKT	2	0
2100	22585623	0	YKT	2	0
2101	80077193	0	YOP	2	0
2102	92932409	0	YPB	2	0
2103	86755550	0	YPB	2	0
2104	96783502	0	YPB	2	0
2105	72337287	0	YPB	2	0
2106	24440735	0	YPB	2	0
2107	32926084	0	YPB	2	0
2108	42795548	0	YTH	2	0
2109	71574469	0	YTI	2	0
2110	63963514	0	YTI	2	0
2111	40994173	0	YTI	2	0
2112	91233107	0	YTI	2	0
2113	31090447	0	YTI	2	0
2114	10049135	0	YTI	2	0
2115	55022748	0	YTI	2	0
2116	96958799	0	YTI	2	0
2117	16779555	0	YTI	2	0
2118	66541867	0	YTI	2	0
2119	33612688	0	YTI	2	0
2120	70634994	0	YTI	2	0
2121	65505453	0	YTI	2	0
2122	85288096	0	YTI	2	0
2123	52203414	0	YTI	2	0
2124	41648094	0	YVN	2	0
2125	10320396	0	YVN	2	0
2126	59445715	0	YVN	2	0
2127	89237939	0	YXA	2	0
2128	66518352	0	YXA	2	0
2129	47317715	0	YXA	2	0
2130	57847301	0	YXA	2	0
2131	67314729	0	YXA	2	0
2132	10489897	0	ZBP	2	0
2133	27211275	0	ZBP	2	0
2134	31471133	0	ZBP	2	0
2135	33112320	0	ZBP	2	0
2136	59592606	0	ZBP	2	0
2137	97389029	0	ZBP	2	0
2138	91742949	0	ZCJ	2	0
2139	93056590	0	ZCW	2	0
2140	22801297	0	ZDO	2	0
2141	52513305	0	ZDO	2	0
2142	58327330	0	ZDO	2	0
2143	49675098	0	ZIA	2	0
2144	94708348	0	ZIA	2	0
2145	31677456	0	ZMB	2	0
2146	14359718	0	ZMB	2	0
2147	91156407	0	ZMO	2	0
2148	97742089	0	ZOS	2	0
2149	74955731	0	ZPU	2	0
2150	40162826	0	ZPU	2	0
2151	50343741	0	ZPU	2	0
2152	20220398	0	ZPU	2	0
2153	94721731	0	ZRF	2	0
2154	94897415	0	ZRP	2	0
2155	98692747	0	ZRP	2	0
2156	57717716	0	ZUE	2	0
2157	84684523	0	ZUE	2	0
2158	42898669	0	ZXM	2	0
2159	56480277	0	ZXM	2	0
2160	64580371	0	ZXM	2	0
2161	33441137	0	ZXM	2	0
2162	17742604	0	ZXM	2	0
2163	24077086	0	ZXM	2	0
2164	51909097	0	ZXM	2	0
2165	40733113	0	ZXM	2	0
2166	65757660	0	ZXY	2	0
2167	38489215	0	ZZT	2	0
